movieId,Titulo,Investimento (em milhoes),Bilheteria (pessoas)
1,Toy Story (1995),11.04821649,5623234.602
2,Jumanji (1995),14.92767805,5714951.757
3,Grumpier Old Men (1995),27.11459654,9524339.124
4,Waiting to Exhale (1995),4.994241717,6331568.779
5,Father of the Bride Part II (1995),19.14224634,6409617.277
6,Heat (1995),9.977310643,4956557.317
7,Sabrina (1995),14.25746091,4654565.066
8,Tom and Huck (1995),8.871800033,3950017.325
9,Sudden Death (1995),29.11280008,6850971.551
10,GoldenEye (1995),3.695240977,5157865.85
11,"American President, The (1995)",7.660964735,6124642.193
12,Dracula: Dead and Loving It (1995),13.16296312,7179619.256
13,Balto (1995),23.09992377,6412548.105
14,Nixon (1995),3.807287872,3940457.954
15,Cutthroat Island (1995),36.96980123,6883304.691
16,Casino (1995),26.87846314,8357738.217
17,Sense and Sensibility (1995),17.46290712,6051705.582
18,Four Rooms (1995),4.401585311,6537048.248
19,Ace Ventura: When Nature Calls (1995),17.25084487,6580321.145
20,Money Train (1995),4.083091088,6253514.417
21,Get Shorty (1995),23.11462484,8912699.881
22,Copycat (1995),26.6014938,4899581.698
23,Assassins (1995),3.452739061,4203260.002
24,Powder (1995),5.958254691,6119911.722
25,Leaving Las Vegas (1995),9.325240727,4694085.643
26,Othello (1995),47.28246139,10867385.4
27,Now and Then (1995),4.62758475,6853880.505
28,Persuasion (1995),35.98912182,8651589.668
29,"City of Lost Children, The (CitÌ© des enfants perdus, La) (1995)",14.44448624,5980356.545
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),16.67544053,7447149.06
31,Dangerous Minds (1995),38.18724016,8017317.308
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),5.599493131,8573321.37
34,Babe (1995),3.572837328,4570979.766
35,Carrington (1995),43.57421036,8065119.319
36,Dead Man Walking (1995),23.64318411,6042044.781
37,Across the Sea of Time (1995),9.311471033,6130830.641
38,It Takes Two (1995),8.180604086,9833692.03
39,Clueless (1995),29.64880244,7980684.744
40,"Cry, the Beloved Country (1995)",42.42347077,8647958.298
41,Richard III (1995),11.52252745,6215875.824
42,Dead Presidents (1995),23.5767292,4792348.702
43,Restoration (1995),28.54388229,6064585.462
44,Mortal Kombat (1995),7.819135558,5725488.168
45,To Die For (1995),22.0413587,4939695.913
46,How to Make an American Quilt (1995),11.03688918,5279266.755
47,Seven (a.k.a. Se7en) (1995),3.639552171,5286126.572
48,Pocahontas (1995),15.8071866,5509707.624
49,When Night Is Falling (1995),34.16363493,9435988.366
50,"Usual Suspects, The (1995)",7.182393315,5761716.616
52,Mighty Aphrodite (1995),3.541599584,5800302.196
53,Lamerica (1994),8.444157319,5085421.399
54,"Big Green, The (1995)",4.055122935,6168414.335
55,Georgia (1995),46.49047978,8016174.668
57,Home for the Holidays (1995),46.0554171,9503718.309
58,"Postman, The (Postino, Il) (1994)",5.751063202,5992914.093
59,"Confessional, The (Confessionnal, Le) (1995)",41.50393584,9600634.768
60,"Indian in the Cupboard, The (1995)",4.87805872,5851257.603
61,Eye for an Eye (1996),7.538458505,5750255.419
62,Mr. Holland's Opus (1995),49.0632668,10945483.93
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),5.821575136,5527762.871
64,Two if by Sea (1996),3.973265842,5709798.411
65,Bio-Dome (1996),7.978730132,6259504.468
66,Lawnmower Man 2: Beyond Cyberspace (1996),3.545169445,6297811.863
68,French Twist (Gazon maudit) (1995),6.788251058,5615399.158
69,Friday (1995),8.257084185,6081295.08
70,From Dusk Till Dawn (1996),6.845515942,5205746.814
71,Fair Game (1995),7.595271225,4725049.26
72,Kicking and Screaming (1995),47.57217745,10357523.51
73,"MisÌ©rables, Les (1995)",40.36367729,13041376.69
74,Bed of Roses (1996),7.076270451,6488501.422
76,Screamers (1995),35.65493395,7510999.212
77,Nico Icon (1995),28.94044786,9523002.633
78,"Crossing Guard, The (1995)",30.68325163,10259330.67
79,"Juror, The (1996)",4.256262376,4595209.625
80,"White Balloon, The (Badkonake sefid) (1995)",6.675647168,7024717.144
81,Things to Do in Denver When You're Dead (1995),13.48460181,6770254.013
82,Antonia's Line (Antonia) (1995),13.49823332,5197166.295
83,Once Upon a Time... When We Were Colored (1995),3.917706803,4801324.37
84,Last Summer in the Hamptons (1995),15.88178439,5794848.428
85,Angels and Insects (1995),10.77173868,7813367.391
86,White Squall (1996),4.487211463,6705911.601
87,Dunston Checks In (1996),8.128287508,5408901.417
88,Black Sheep (1996),9.019935933,5977150.32
89,Nick of Time (1995),4.280845734,6467603.377
92,Mary Reilly (1996),45.9441738,10922350.28
93,Vampire in Brooklyn (1995),5.377873042,3639361.119
94,Beautiful Girls (1996),26.71637426,7984598.064
95,Broken Arrow (1996),3.750584747,6238736.801
96,In the Bleak Midwinter (1995),11.55269928,6632645.888
97,"Hate (Haine, La) (1995)",6.284822565,5336087.16
98,Shopping (1994),7.928190029,5123843.672
99,Heidi Fleiss: Hollywood Madam (1995),5.154986835,7461658.117
100,City Hall (1996),13.26904919,4372980.297
101,Bottle Rocket (1996),3.79863601,4617431.832
102,Mr. Wrong (1996),5.500988232,4906499.13
103,Unforgettable (1996),11.85490351,6154695.786
104,Happy Gilmore (1996),19.02392858,4768411.078
105,"Bridges of Madison County, The (1995)",15.12601504,5860633.339
107,Muppet Treasure Island (1996),10.61543562,5381466.562
108,Catwalk (1996),6.5077028,5733674.808
110,Braveheart (1995),12.56952599,7238527.81
111,Taxi Driver (1976),24.00945956,7387930.88
112,Rumble in the Bronx (Hont faan kui) (1995),39.84157424,9000039.637
113,Before and After (1996),6.14484063,4731495.448
114,Margaret's Museum (1995),27.10091649,6599091.391
116,Anne Frank Remembered (1995),4.914731184,4535825.722
117,"Young Poisoner's Handbook, The (1995)",28.39427697,8547925.422
118,If Lucy Fell (1996),5.594715374,4953066.528
119,"Steal Big, Steal Little (1995)",23.28067922,6015052.213
121,"Boys of St. Vincent, The (1992)",9.511147437,6869135.061
122,Boomerang (1992),24.19835594,7034123.95
123,Chungking Express (Chung Hing sam lam) (1994),48.57679951,8478053.389
124,"Star Maker, The (Uomo delle stelle, L') (1995)",3.847928648,4709834.552
125,Flirting With Disaster (1996),4.603428151,6043376.418
126,"NeverEnding Story III, The (1994)",9.566730379,6394275.606
129,Pie in the Sky (1996),28.46802697,7309182.898
130,Angela (1995),17.20493978,7593433.027
131,Frankie Starlight (1995),44.57267369,8483616.211
132,Jade (1995),12.93153936,6372419.351
135,Down Periscope (1996),13.19881565,5042345.546
137,Man of the Year (1995),13.679203,9285038.207
140,Up Close and Personal (1996),20.52885067,7005200.87
141,"Birdcage, The (1996)",3.569660334,6365586.261
144,"Brothers McMullen, The (1995)",6.218001589,7177113.997
145,Bad Boys (1995),6.322742827,6494470.19
146,"Amazing Panda Adventure, The (1995)",3.734072955,4225030.687
147,"Basketball Diaries, The (1995)",23.07719435,5938203.922
148,"Awfully Big Adventure, An (1995)",5.014972986,6437544.479
149,Amateur (1994),30.71487796,7287166.513
150,Apollo 13 (1995),18.51142398,6777716.079
151,Rob Roy (1995),32.65211322,8747419.544
152,"Addiction, The (1995)",27.21101322,7974836.454
153,Batman Forever (1995),25.18381447,8683491.412
154,Beauty of the Day (Belle de jour) (1967),17.70388027,5711985.22
155,Beyond Rangoon (1995),38.33991421,7802958.688
156,Blue in the Face (1995),46.97671379,11270792.51
157,Canadian Bacon (1995),18.18779165,6102953.837
158,Casper (1995),9.573417338,7297823.399
159,Clockers (1995),4.463260313,5070665.085
160,Congo (1995),4.669093186,6079051.342
161,Crimson Tide (1995),25.91870129,6606086.565
162,Crumb (1994),30.11838843,6078261.98
163,Desperado (1995),9.584773652,5793759.345
164,Devil in a Blue Dress (1995),25.25092119,8040684.746
165,Die Hard: With a Vengeance (1995),8.914050224,5974314.304
166,"Doom Generation, The (1995)",29.7715764,5763665.235
167,Feast of July (1995),9.245455494,6762833.193
168,First Knight (1995),4.984338734,8163048.991
169,Free Willy 2: The Adventure Home (1995),6.419976933,4562560.102
170,Hackers (1995),4.05112364,7588377.206
171,Jeffrey (1995),3.663858462,6103736.559
172,Johnny Mnemonic (1995),36.17954294,10060569.92
173,Judge Dredd (1995),23.1446518,5634111.432
174,Jury Duty (1995),9.098920125,5303029.087
175,Kids (1995),27.1526074,6406761.626
176,Living in Oblivion (1995),8.208938956,5651500.989
177,Lord of Illusions (1995),8.35914882,6490013.839
178,Love & Human Remains (1993),27.14888822,6197984.292
179,Mad Love (1995),28.53803419,7121109.72
180,Mallrats (1995),19.70995318,5525836.127
181,Mighty Morphin Power Rangers: The Movie (1995),48.28023919,9880399.484
183,Mute Witness (1994),12.02008117,9703507.995
184,Nadja (1994),41.37887802,10150153.16
185,"Net, The (1995)",13.27268852,6129357.05
186,Nine Months (1995),16.57524887,8762840.347
187,Party Girl (1995),10.14725559,6615733.576
188,"Prophecy, The (1995)",32.70187422,6907229.541
189,Reckless (1995),30.61940472,7735131.646
190,Safe (1995),17.28100204,7346781.113
191,"Scarlet Letter, The (1995)",29.37479442,6359612.466
193,Showgirls (1995),28.06949591,7032297.233
194,Smoke (1995),7.006308943,6342075.104
195,Something to Talk About (1995),5.023913808,7250578.071
196,Species (1995),29.83193127,6821140.244
198,Strange Days (1995),8.020835151,8150382.317
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",7.627023127,4610129.056
200,"Tie That Binds, The (1995)",14.35826864,7567614.664
201,Three Wishes (1995),25.78693528,7541113.221
202,Total Eclipse (1995),9.76706189,7623776.798
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",26.42482509,5693971.332
204,Under Siege 2: Dark Territory (1995),9.948458448,5767494.947
205,Unstrung Heroes (1995),47.21533125,11794218.66
206,Unzipped (1995),10.1606555,4279124.669
207,"Walk in the Clouds, A (1995)",8.632219667,7268216.733
208,Waterworld (1995),13.50381964,4693133.192
209,White Man's Burden (1995),7.459947922,6188838.096
211,"Browning Version, The (1994)",6.44784098,4969679.496
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),4.740953461,6170577.998
214,Before the Rain (Pred dozhdot) (1994),21.33097911,8302884.221
215,Before Sunrise (1995),6.060376661,5830871.672
216,Billy Madison (1995),9.598504724,5976671.798
217,"Babysitter, The (1995)",30.05488741,7142010.591
218,Boys on the Side (1995),7.343019256,6572576.986
219,"Cure, The (1995)",17.51661644,7466746.382
220,Castle Freak (1995),17.38761472,4917801.704
222,Circle of Friends (1995),7.556329254,6887973.972
223,Clerks (1994),5.453725473,5177437.54
224,Don Juan DeMarco (1995),38.87607622,8083805.653
225,Disclosure (1994),25.63231999,7441079.189
227,Drop Zone (1994),17.04076785,8082979.678
228,Destiny Turns on the Radio (1995),46.73939746,7747283.303
229,Death and the Maiden (1994),4.790276594,6604474.635
230,Dolores Claiborne (1995),19.97902451,6084256.23
231,Dumb & Dumber (Dumb and Dumber) (1994),15.42459365,6896240.08
232,Eat Drink Man Woman (Yin shi nan nu) (1994),3.862996848,3990692.663
233,Exotica (1994),4.175153457,5073300.196
234,Exit to Eden (1994),12.14506695,7386464.43
235,Ed Wood (1994),28.93602859,8544343.723
236,French Kiss (1995),47.88246866,11324119.41
237,Forget Paris (1995),12.2486595,6421143.407
238,Far From Home: The Adventures of Yellow Dog (1995),11.65762118,5198307.345
239,"Goofy Movie, A (1995)",6.434171287,6418196.756
240,Hideaway (1995),26.31253855,6660858.806
241,Fluke (1995),4.360498822,5372786.94
242,Farinelli: il castrato (1994),7.839154562,7467100.193
243,Gordy (1995),10.43301625,8318277.207
244,Gumby: The Movie (1995),9.658298459,7637681.495
245,The Glass Shield (1994),42.03740304,8009868.745
246,Hoop Dreams (1994),21.08795613,5616500.483
247,Heavenly Creatures (1994),7.343522632,5991262.287
248,Houseguest (1994),19.29606011,5613383.127
249,Immortal Beloved (1994),4.878771226,4146579.849
250,Heavyweights (Heavy Weights) (1995),5.444531835,5764042.678
251,"Hunted, The (1995)",4.742219081,5402271.542
252,I.Q. (1994),39.36153429,8073251.222
