Titulo,Documentary,Sci-Fi,Mystery,Horror,Romance,Thriller,Crime,Fantasy,Comedy,Animation,Children,Drama,Adventure,Duracao,Investimento,Gostou
Nixon (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,114.496547,7.930748498,1
Leaving Las Vegas (1995),0,0,0,0,1,0,0,0,0,0,0,1,0,110.1401909,18.27655533,1
Persuasion (1995),0,0,0,0,1,0,0,0,0,0,0,1,0,105.7475965,16.58223236,1
Babe (1995),0,0,0,0,0,0,0,0,0,0,1,1,0,126.1319776,13.00455253,1
Carrington (1995),0,0,0,0,1,0,0,0,0,0,0,1,0,85.0254686,14.41812043,1
Dead Man Walking (1995),0,0,0,0,0,0,1,0,0,0,0,1,0,109.6215458,43.7608499,1
Across the Sea of Time (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,81.60425277,14.94324027,0
To Die For (1995),0,0,0,0,0,0,0,0,1,0,0,1,0,138.6375948,6.299150069,1
Seven (a.k.a. Se7en) (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,116.1432613,3.795008325,1
"Usual Suspects, The (1995)",0,0,1,0,0,0,1,0,0,0,0,0,0,84.31961284,6.337630684,1
Mighty Aphrodite (1995),0,0,0,0,1,0,0,0,1,0,0,1,0,103.8121813,6.71476874,1
"Postman, The (Postino, Il) (1994)",0,0,0,0,1,0,0,0,1,0,0,1,0,91.37535713,24.3162507,1
From Dusk Till Dawn (1996),0,0,0,1,0,0,0,0,1,0,0,0,0,99.88373854,5.670608576,0
"Crossing Guard, The (1995)",0,0,0,0,0,0,1,0,0,0,0,1,0,119.3760297,7.050147025,1
Beautiful Girls (1996),0,0,0,0,1,0,0,0,1,0,0,1,0,111.2147379,9.564869072,0
Taxi Driver (1976),0,0,0,0,0,0,1,0,0,0,0,1,0,84.818368,14.23046318,1
"Young Poisoner's Handbook, The (1995)",0,0,0,0,0,0,1,0,0,0,0,1,0,151.3611696,25.28566276,1
Flirting With Disaster (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,106.4078916,17.87855563,1
"Basketball Diaries, The (1995)",0,0,0,0,0,0,0,0,0,0,0,1,0,115.5643513,34.41268048,1
Apollo 13 (1995),0,0,0,0,0,0,0,0,0,0,0,1,1,142.3861476,12.20807161,1
Clockers (1995),0,0,1,0,0,0,1,0,0,0,0,1,0,120.6259474,49.21213376,1
Crumb (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,99.12969231,18.59238983,1
Smoke (1995),0,0,0,0,0,0,0,0,1,0,0,1,0,112.8084268,3.661504342,1
Total Eclipse (1995),0,0,0,0,1,0,0,0,0,0,0,1,0,142.2395221,21.61755258,1
Don Juan DeMarco (1995),0,0,0,0,1,0,0,0,1,0,0,1,0,78.94816163,17.30694698,1
Ed Wood (1994),0,0,0,0,0,0,0,0,1,0,0,1,0,115.1578819,20.7518854,1
