movieId,Titulo,Documentary,Sci-Fi,Mystery,Horror,Romance,Thriller,Crime,Fantasy,Comedy,Animation,Children,Drama,Adventure,Duracao,Investimento,Bilheteria
1,Toy Story (1995),0,0,0,0,0,0,0,1,1,1,1,0,1,103.4683096,11.04821649,5623234.602
2,Jumanji (1995),0,0,0,0,0,0,0,1,0,0,1,0,1,112.3379163,14.92767805,5714951.757
3,Grumpier Old Men (1995),0,0,0,0,1,0,0,0,1,0,0,0,0,116.2457324,27.11459654,9524339.124
4,Waiting to Exhale (1995),0,0,0,0,1,0,0,0,1,0,0,1,0,120.3177316,4.994241717,6331568.779
5,Father of the Bride Part II (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,110.0235716,19.14224634,6409617.277
6,Heat (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,97.32484507,9.977310643,4956557.317
7,Sabrina (1995),0,0,0,0,1,0,0,0,1,0,0,0,0,88.9788932,14.25746091,4654565.066
8,Tom and Huck (1995),0,0,0,0,0,0,0,0,0,0,1,0,1,78.53601116,8.871800033,3950017.325
9,Sudden Death (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,104.934703,29.11280008,6850971.551
10,GoldenEye (1995),0,0,0,0,0,1,0,0,0,0,0,0,1,105.8994748,3.695240977,5157865.85
11,"American President, The (1995)",0,0,0,0,1,0,0,0,1,0,0,1,0,130.3104717,7.660964735,6124642.193
12,Dracula: Dead and Loving It (1995),0,0,0,1,0,0,0,0,1,0,0,0,0,125.4744336,13.16296312,7179619.256
13,Balto (1995),0,0,0,0,0,0,0,0,0,1,1,0,1,99.04379942,23.09992377,6412548.105
14,Nixon (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,89.20766042,3.807287872,3940457.954
15,Cutthroat Island (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,73.28511078,36.96980123,6883304.691
16,Casino (1995),0,0,0,0,0,0,1,0,0,0,0,1,0,106.8018147,26.87846314,8357738.217
17,Sense and Sensibility (1995),0,0,0,0,1,0,0,0,0,0,0,1,0,97.6472374,17.46290712,6051705.582
18,Four Rooms (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,128.9604356,4.401585311,6537048.248
19,Ace Ventura: When Nature Calls (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,117.1244198,17.25084487,6580321.145
20,Money Train (1995),0,0,0,0,0,1,1,0,1,0,0,1,0,110.143588,4.083091088,6253514.417
21,Get Shorty (1995),0,0,0,0,0,1,1,0,1,0,0,0,0,125.2285419,23.11462484,8912699.881
22,Copycat (1995),0,0,1,1,0,1,1,0,0,0,0,1,0,74.1247314,26.6014938,4899581.698
23,Assassins (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,87.25350339,3.452739061,4203260.002
24,Powder (1995),0,1,0,0,0,0,0,0,0,0,0,1,0,126.2079548,5.958254691,6119911.722
